project_id,case_submitter_id,case_id,sample_submitter_ids,sample_types,aliquot_submitter_ids,file_id,file_name,gene,peptide_target,agid,lab_id,catalog_number,set_id,protein_expression
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,,19e4300d-4ff5-4e3f-9839-6b89cb8d5c9a,TCGA-05-4410-01A-22-2190-20_RPPA_data.tsv,BRAF,BRAF,AGID00355,92,1647/ab33899,Old,0.25045
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,,19e4300d-4ff5-4e3f-9839-6b89cb8d5c9a,TCGA-05-4410-01A-22-2190-20_RPPA_data.tsv,BRAF,BRAF_pS445,AGID00014,94,2696,Old,0.10687
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,,19e4300d-4ff5-4e3f-9839-6b89cb8d5c9a,TCGA-05-4410-01A-22-2190-20_RPPA_data.tsv,CDKN2A,P16INK4A,AGID00420,466,1712-1/ab40803,Old,0.19126
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,,19e4300d-4ff5-4e3f-9839-6b89cb8d5c9a,TCGA-05-4410-01A-22-2190-20_RPPA_data.tsv,EGFR,EGFR,AGID00152,1120,2232,Old,0.72077
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,,19e4300d-4ff5-4e3f-9839-6b89cb8d5c9a,TCGA-05-4410-01A-22-2190-20_RPPA_data.tsv,EGFR,EGFR_pY1068,AGID00450,217,2234,Old,4.8247
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,,19e4300d-4ff5-4e3f-9839-6b89cb8d5c9a,TCGA-05-4410-01A-22-2190-20_RPPA_data.tsv,EGFR,EGFR_pY1173,AGID00026,221,1124-1/ab32578,Old,1.1379
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,,19e4300d-4ff5-4e3f-9839-6b89cb8d5c9a,TCGA-05-4410-01A-22-2190-20_RPPA_data.tsv,ERBB2,HER2,AGID00131,1038,MS-325-P1,Old,1.3163
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,,19e4300d-4ff5-4e3f-9839-6b89cb8d5c9a,TCGA-05-4410-01A-22-2190-20_RPPA_data.tsv,ERBB2,HER2_pY1248,AGID00142,299,06-229,Old,2.6611
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,,19e4300d-4ff5-4e3f-9839-6b89cb8d5c9a,TCGA-05-4410-01A-22-2190-20_RPPA_data.tsv,MET,CMET,AGID00466,726,3127,Old,0.017331
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,,19e4300d-4ff5-4e3f-9839-6b89cb8d5c9a,TCGA-05-4410-01A-22-2190-20_RPPA_data.tsv,MET,CMET_pY1235,AGID00079,727,3129,Old,0.16545
